section,id,rule,cols_raw
VIII. Discovery / anti-repetition nudges,DI-10,_get_cross_reference / _should_cross_reference,"discovery.py:936,961 || YES || PRODUCTION || none || ACTIVE || "
VIII. Discovery / anti-repetition nudges,DI-11,SOFA disturbance-first discovery,"SOFA-METHOD.md §1–3, sofa_discovery_shadow.py || NO || SHADOW || SOFA METHOD || PARKED || "
VIII. Discovery / anti-repetition nudges,DI-12,CJ-1 v3 source friction gate (3 prompt versions),automation/cj1_v3_*.py || NO || HISTORICAL || DISCOVERY || HISTORICAL || 
VIII. Discovery / anti-repetition nudges,DI-13,CJ-2 B2 competitive reframing (~15 probe files),automation/cj2_b2_*.py || NO || HISTORICAL || DISCOVERY || HISTORICAL || 
VIII. Discovery / anti-repetition nudges,DI-14,CJ-2 shadow integration hook,orchestrator/cj2_shadow.py || NO || SHADOW || DISCOVERY || PARKED (CJ2_INTEGRATION_MODE=OFF) || 
IX. Dead / unwired rule infrastructure,DE-01,"style_rules.py RULES registry (16 rules, 3 renderings each)",automation/style_rules.py || none || NO || DEAD || DEAD** — never wired; four hand-typed copies are the real behaviour || 
IX. Dead / unwired rule infrastructure,DE-02,render_gate() / render_review() / render_writer_bullet() / render_rewrite() / render_docs(),same || none || NO || DEAD || DEAD || 
IX. Dead / unwired rule infrastructure,DE-03,check_rule_drift.py drift linter,"automation/check_rule_drift.py || no CI / cron / Makefile || NO (automated) || DEAD-ish || DEAD as a gate**, usable manually || "
IX. Dead / unwired rule infrastructure,DE-04,.claude/CONTEXT.md:81 claim that style_rules.py is the single source of truth,doc || — || — || DEAD || CONTRADICTED by code || 
IX. Dead / unwired rule infrastructure,DE-05,editorial-lens.md,repo root || prose_audit.py only || NO || HISTORICAL || HISTORICAL || 
IX. Dead / unwired rule infrastructure,DE-06,MANIFESTO.md / PIPELINE.md,"repo root || Jekyll-excluded; prose_audit.py, archive/ethical_research_bot.py || NO || HISTORICAL || PRESERVE_HISTORICAL_ONLY || "
IX. Dead / unwired rule infrastructure,DE-07,prose_audit.py,repo root || no runner || NO || DEAD || HISTORICAL || 
IX. Dead / unwired rule infrastructure,DE-08,archive/ scripts (6 files),archive/ || none || NO || HISTORICAL || PRESERVE_HISTORICAL_ONLY || 
IX. Dead / unwired rule infrastructure,DE-09,Historical mass-injected copies in opus_rewrite.py + root production_orchestrator.py,deleted || — || NO || HISTORICAL || DEAD (files removed) || 
IX. Dead / unwired rule infrastructure,DE-10,PATH_CJ2_WINNER_DRAFT / PATH_CJ2_PRODUCTION constants,cj2_shadow.py:41-42 || none || NO || DEAD || DEAD — self-documented as unreachable || 
